closed_ts,account_id_hashed
2020-03-08 21:03:04.300000 UTC,++xEXYDVxIqpA39F6Y43K10T7LKyIc+pyUx9N/J/PO0omLI9qZa8OzIf6clyCFesxFZuLepyUsAn8NIYlbi15Q==
2020-04-13 15:06:10.382000 UTC,+/9eY6fEm7v0ir4t/wsb9laZgphdRuL5ZNfTr8gjrbaQt+yEpIlheNiJmaLlujDxu6peSQ4uXDCZrY7MDElNXQ==
2019-12-06 15:10:00.691000 UTC,+/CjfL55l9vYBAwyCi1uVzvF7g2iwtCof7BcaVq+hoANrTqfrQkOAs4ZWcswFJtTt1DfHQAnjZquMfNemD/3rw==
2020-06-24 11:21:03.304000 UTC,+/CsRDO5vxS+fbXrbLiWLs71DS9k3fqve/hLv9HKYOL7YfsfjJUhI69ByjkzVi2uZ6t3pvQb0UCkXJiLODIGpQ==
2019-12-14 13:24:54.239000 UTC,+/EGMXGReQuv5uEfs0PL6Kzn36C8ThzI4rQyK1YxEspu+Aa00hYd15/buQdHIn8hZXEgyCAT8SjgTSAjWkvueA==
2018-04-17 14:12:47.885896 UTC,+/c3PGgTg4Gcgq/xy5bO7us4ggKzP+p9sEoOzGfwORYbxZJfmNr0GXkq8wRbDfOlgsz1AyZqSHRxIJxaow1GhA==
2020-03-03 20:59:54.569000 UTC,+/cvZH0BgI0BkrPO+6oDs4KriKE8+YynkTfyEDbNa4yNSGcEdT6FXOW7nj0oAyBo78xoHh0DXQjlfScbz4ya7w==
2019-09-26 19:09:04.718000 UTC,+0UemrvTEiqz5v28HWI9PmBaMWo5uXUPpRDw7vSAo4VkSS3myTaVgSw3v3reakIMt/HWLkuJxTsXsylfQZ5CvA==
2018-07-09 23:27:41.290783 UTC,+1vOW/aDeumaucunqMMeMWJv7byIrDPg6HhMNIltHgjlCz4Zm2DHkctzLntzeX26uj1BuCUQYQf/U7m6CljE4w==
2020-02-16 19:31:37.792000 UTC,+3Q4ZDpoljboewgjEMkgSXY12t3gbi5It/l9GtnN4PqaCoDyEZTQ+wkwmItf+wydzZt6KjIwH7oGZ2Toy0rjIw==
2018-12-14 14:38:49.402000 UTC,+4kgq74C/gSRS1nhY/7JqHWHgPOsl0D/sHXtsHb2aKqamS0DUo3xCSKgAgECQtyBA5bwUGphunaSk3h2KBeppA==
2020-06-28 15:07:30.159000 UTC,+6Ok0h9nArxMShX0wapTa7zeuKwYiU5oXxcAK2ZnPR+NcwzyM9AjmzCEOwZLw4SLRkiCFw/fMfpaH5acm5fPOg==
2020-01-25 09:59:37.966000 UTC,+7iik94W6AJG3t69mgaQV+UkeQ8+RymeV+/yZzyYgvvjdVFkic/vLARUpGRbGobuZTFtYERKX4uBGSs5eIA2Qg==
2019-11-28 19:56:42.203000 UTC,+9FOOzlZeNEZT+KuCEVHq5UiIMY1Hez7TvLFZCW7SXKBH79//sf/U4s3SbvX+CEniIpeqyLalEuBtydDhacW7w==
2019-12-29 21:53:39.199000 UTC,+AE0+zbcc3SVpZK6SLYjNxOtOyUkkTNCeeYWCy72wJe6EpNT7tzjm1vwLUA3hVv4CVs86jpgAV51U9ov+uVwEQ==
2020-05-04 06:47:14.640000 UTC,+AJOyPy+n2kPc1WEvyX+95pCWKO0gbe67IiuS+sjQca2dz40EkoNoF+oXwylY68qy4N3NNFk3Sq/MwRl/IIHaA==
2020-08-06 11:58:37.076000 UTC,+B2ZxsnsQwpS3/UX5jqWgfEhGakkCYZ3OLofQbGY41mEJ5wJlxfVUh4Iy+r4MDWzke9XqstXV18cM1JEhXXYMw==
2018-06-30 08:30:59.770583 UTC,+CubNQI7bxNvgtdPRERLdwGklzgrzEowjlpEdRctTy09TTlF84s4SsyvvxpP8HFYAitsFERLFiW638OAGvOoHw==
2019-10-02 01:36:10.994000 UTC,+EtfE1xu+E28TBrCx0k6k5VQ/EKKfPaRILosRAWID9ZpSDPBuaeHnxdeE0AB8QqAnzQq8w/xIv09mNbv87mEFQ==
2020-08-08 14:53:53.346000 UTC,+FswMT6+zcThPdZS8P4bMan4Xz44mZsHge85I/MyJ2f2KT2NRObd9tv6WWtlbfuIg3VZq+0Hx58B8IJL4lGLZw==
